,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
7299,IXAR,Oil & Gas ,3.6,55 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
7300,INDIAN DESIGNS,Fashion & Textile ,4.2,31 years old,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
7301,Connect India E Commerce Services,Logistics ,3.2,9 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
7302,Elite Powertech,Power ,4,12 years old,Work Life Balance,Promotions / Appraisal
7303,Gmr Airport Developers,5k-10k Employees ,4.1,32 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
7304,Karnataka Co-operative Milk Producers Federation,Food Processing ,4.1,50 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
7305,Gulshan Polyols,Chemicals ,3.5,24 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
7306,Brindavan Beverages,Beverage ,3.9,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7307,Wanfeng Aluminum Wheel,Industrial Machinery ,4.2,,"Job Security, Work Life Balance",Salary & Benefits
7308,National Sample Survey Office (nsso),Government ,4,74 years old,"Job Security, Promotions / Appraisal",
7309,ATS Services,Analytics & KPO ,3.8,24 years old,"Salary & Benefits, Job Security, Work Life Balance",Promotions / Appraisal
7310,A.t.e. Enterprises,Industrial Machinery ,3.9,85 years old,Company Culture,Promotions / Appraisal
7311,AAFT,EdTech ,3.3,31 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7312,HGS TECHNOLOGIES,IT Services & Consulting ,4.1,,"Job Security, Company Culture, Skill Development / Learning",
7313,ElringKlinger AG,Auto Components ,3.7,145 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
7314,Gems Education,Education & Training ,3.9,65 years old,"Skill Development / Learning, Company Culture, Job Security",
7315,Alliance Group,Real Estate ,3.7,20 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
7316,Akshara Enterprises,IT Services & Consulting ,3.9,16 years old,Work Life Balance,"Salary & Benefits, Promotions / Appraisal, Company Culture"
7317,Nath Bio - Genes,Agro Chemicals ,4,45 years old,"Company Culture, Skill Development / Learning",Promotions / Appraisal
7318,Kanerika Software,IT Services & Consulting ,4.4,9 years old,"Salary & Benefits, Job Security, Company Culture",
7319,Palsons Derma,Fitness & Wellness ,4,40 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
7320,JL Morison India,FMCG ,4.4,90 years old,"Company Culture, Work Life Balance, Job Security",
7321,Drive India Enterprise Solutions Limited (DIESL),Logistics ,4.1,21 years old,"Work Satisfaction, Work Life Balance, Job Security",
7322,Valued Epistemics,EdTech ,3.2,16 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
7323,Glen Appliances,Consumer Electronics & Appliances ,3.8,25 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
7324,Excellon Software,IT Services & Consulting ,3.6,24 years old,"Work Satisfaction, Promotions / Appraisal, Company Culture",
7325,MathWorks,Software Product ,4.2,16 years old,"Company Culture, Work Life Balance, Job Security",
7326,AXA,Insurance ,4,208 years old,"Job Security, Work Life Balance, Company Culture",
7327,Entercoms,Management Consulting ,3,20 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
7328,KPI Partners,IT Services & Consulting ,3.3,18 years old,"Job Security, Work Satisfaction, Company Culture",
7329,FICCI,Government ,3.6,97 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
7330,Flourish Pure Foods,Food Processing ,2.1,14 years old,"Company Culture, Job Security, Promotions / Appraisal",
7331,Daimler,Automobile ,3.8,138 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
7332,Pentagon System and Services,IT Services & Consulting ,4.2,30 years old,"Job Security, Work Life Balance",Promotions / Appraisal
7333,Site Engineering,Engineering & Construction ,3.9,39 years old,"Work Life Balance, Work Satisfaction",Promotions / Appraisal
7334,Ajeet Seeds,Agriculture ,4.3,38 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
7335,Fairmont Hotels & Resorts,Hospitality ,4.4,117 years old,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
7336,Aamby Valley City,Real Estate ,3.6,21 years old,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
7337,Space Matrix Design Consultants,Real Estate ,3.8,23 years old,"Promotions / Appraisal, Work Life Balance, Job Security",
7338,Arbro Pharmaceuticals,Pharma ,3.9,39 years old,Work Life Balance,
7339,NELCAST,Iron & Steel ,3.5,42 years old,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
7340,Armstrong Machine Builders,Industrial Machinery ,3.2,25 years old,"Work Life Balance, Job Security, Company Culture",
7341,Drytech Processes (I),Food Processing ,4,32 years old,"Salary & Benefits, Promotions / Appraisal, Job Security",
7342,Doosan Heavy Industries & Construction,Engineering & Construction ,4.4,62 years old,"Salary & Benefits, Skill Development / Learning, Company Culture",
7343,Diversey,Chemicals ,4.3,101 years old,"Work Life Balance, Company Culture, Job Security",
7344,Constantia Flexibles,Packaging ,3.9,112 years old,Promotions / Appraisal,
7345,Eldeco Infrastructure & Properties,Real Estate ,4.3,49 years old,"Job Security, Company Culture, Work Life Balance",
7346,Lumens Technologies,Semiconductors ,3.8,,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
7347,Centrumdirect,Financial Services ,3.9,27 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
7348,Emiza Supply Chain Services Private Limited,Logistics ,4,9 years old,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
7349,Uttam Sugar Mills,Food Processing ,4,31 years old,,
7350,Wockhardt Biotech Park,Pharma ,4,20 years old,"Company Culture, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
7351,TRACKS AND TOWERS INFRATECH,Engineering & Construction ,4.2,41 years old,"Promotions / Appraisal, Job Security",
7352,Bridgei2i Analytics Solutions,IT Services & Consulting ,3.8,13 years old,"Skill Development / Learning, Company Culture, Job Security",Salary & Benefits
7353,Shilpa Steel and Power,Iron & Steel ,3.5,36 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
7354,Ellucian Higher Education Systems,IT Services & Consulting ,4.1,13 years old,"Company Culture, Work Life Balance",Promotions / Appraisal
7355,SKS Fasteners,Auto Components ,3.4,26 years old,"Job Security, Company Culture, Work Life Balance",
7356,National Rural Livelihood Mission,Government ,3.7,13 years old,"Job Security, Promotions / Appraisal, Company Culture",
7357,Market Research Future Reports,Analytics & KPO ,4,9 years old,"Salary & Benefits, Company Culture, Work Life Balance",
7358,ATS Homekraft,Real Estate ,4.1,6 years old,Salary & Benefits,
7359,Innovalance Learning Systems,1-10 Employees ,3.4,,"Promotions / Appraisal, Job Security, Salary & Benefits",
7360,Innovalance Learning Systems,1-10 Employees ,3.4,,"Promotions / Appraisal, Job Security, Salary & Benefits",
7361,AAFT,EdTech ,3.3,31 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7362,ATS Homekraft,Real Estate ,4.1,6 years old,Salary & Benefits,
7363,Altruistic Technology Labs,,3.3,,"Promotions / Appraisal, Salary & Benefits, Company Culture",
7364,Unistal Systems,Software Product ,3.6,30 years old,Work Life Balance,
7365,Vi-son Industries,Industrial Machinery ,3.7,27 years old,"Work Satisfaction, Salary & Benefits, Company Culture",
7366,IRIS Business Services,IT Services & Consulting ,3.8,24 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
7367,Adaequare,IT Services & Consulting ,3.9,23 years old,"Work Life Balance, Salary & Benefits, Company Culture",
7368,Ashland,Chemicals ,4.1,100 years old,"Work Life Balance, Company Culture, Job Security",
7369,GlobalHunt,Recruitment ,3.2,22 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
7370,Spinco Biotech,Biotechnology ,3.9,43 years old,"Work Satisfaction, Promotions / Appraisal",
7371,Vistaprint,Internet ,3.6,12 years old,Company Culture,"Job Security, Promotions / Appraisal, Salary & Benefits"
7372,Sathavahana Ispat,Iron & Steel ,3.2,35 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
7373,Growel Softech,Recruitment ,3,25 years old,"Job Security, Company Culture, Promotions / Appraisal",
7374,American India Foundation,Non-Profit ,3.9,23 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
7375,ICONMA,Recruitment ,3.3,24 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
7376,Karnataka Power Transmission Corporation,Power ,4.3,25 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
7377,Arabian Bemco Contracting Co,Engineering & Construction ,4.4,56 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
7378,Sustainable Agro-commercial Finance,NBFC ,4.3,13 years old,"Company Culture, Work Life Balance, Salary & Benefits",
7379,Money View,Financial Services ,4.1,10 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
7380,Anjan Drug,Pharma ,3,34 years old,"Company Culture, Work Satisfaction, Work Life Balance",
7381,Ok Play,Industrial Machinery ,3.5,31 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
7382,Maharashtra Feeds,Agriculture ,4,32 years old,"Company Culture, Work Life Balance, Salary & Benefits",
7383,DNV GL,IT Services & Consulting ,4.3,160 years old,"Company Culture, Work Life Balance, Work Satisfaction",
7384,Kusalava International,Industrial Machinery ,4.2,60 years old,"Skill Development / Learning, Job Security, Work Satisfaction",
7385,Sabyasachi Couture,Fashion & Textile ,3.6,18 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
7386,Forever New,Retail ,4.1,18 years old,"Skill Development / Learning, Work Life Balance, Job Security",
7387,Sustainable Agro-commercial Finance,NBFC ,4.3,13 years old,"Company Culture, Work Life Balance, Salary & Benefits",
7388,Money View,Financial Services ,4.1,10 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
7389,Century Textiles and Industries,Pulp & Paper ,4.4,127 years old,"Job Security, Company Culture, Work Life Balance",
7390,Celon Laboratories,Pharma ,3.3,17 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
7391,Pravin Electricals,Electrical Equipment ,4,38 years old,Skill Development / Learning,"Salary & Benefits, Work Life Balance, Promotions / Appraisal"
7392,MaRS Planning & Engineering Services,Engineering & Construction ,4.1,24 years old,"Work Life Balance, Job Security, Skill Development / Learning",
7393,Chanakya IAS Academy,Education & Training ,3.2,31 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
7394,Vistaprint,Internet ,3.6,12 years old,Company Culture,"Job Security, Promotions / Appraisal, Salary & Benefits"
7395,Nagravision,IT Services & Consulting ,3.6,17 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
7396,Valenta AI Private Limited,IT Services & Consulting ,3.6,13 years old,"Salary & Benefits, Job Security, Promotions / Appraisal",
7397,Karnataka Power Transmission Corporation,Power ,4.3,25 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
7398,Ashland,Chemicals ,4.1,100 years old,"Work Life Balance, Company Culture, Job Security",
7399,GlobalHunt,Recruitment ,3.2,22 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
7400,Spinco Biotech,Biotechnology ,3.9,43 years old,"Work Satisfaction, Promotions / Appraisal",
7401,ICONMA,Recruitment ,3.3,24 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
7402,IRIS Business Services,IT Services & Consulting ,3.8,24 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
7403,Sathavahana Ispat,Iron & Steel ,3.2,35 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
7404,Hindustan Colas,Engineering & Construction ,3.5,28 years old,Job Security,"Salary & Benefits, Work Life Balance, Promotions / Appraisal"
7405,American India Foundation,Non-Profit ,3.9,23 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
7406,Vi-son Industries,Industrial Machinery ,3.7,27 years old,"Work Satisfaction, Salary & Benefits, Company Culture",
7407,Adaequare,IT Services & Consulting ,3.9,23 years old,"Work Life Balance, Salary & Benefits, Company Culture",
7408,Growel Softech,Recruitment ,3,25 years old,"Job Security, Company Culture, Promotions / Appraisal",
7409,Arabian Bemco Contracting Co,Engineering & Construction ,4.4,56 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
7410,GREEN POWER INTERNATIONAL,Oil & Gas ,4.5,22 years old,"Company Culture, Job Security, Skill Development / Learning",
7411,Ajax Fiori Engineering,Engineering & Construction ,4.1,32 years old,Promotions / Appraisal,
7412,Paramount Products,Import & Export ,4.2,51 years old,Salary & Benefits,Job Security
7413,SAIL Bokaro Steel Plant,Iron & Steel ,4.1,60 years old,"Job Security, Work Life Balance, Company Culture",
7414,G-Cube Solutions,EdTech ,3.3,24 years old,"Work Satisfaction, Promotions / Appraisal, Work Life Balance",
7415,Cryptograph Technologies,IT Services & Consulting ,4.2,14 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
7416,National Australia Bank,Banking ,3.4,,"Promotions / Appraisal, Work Satisfaction, Company Culture",
7417,Sv Edusports,Sports & Recreation ,4.3,15 years old,"Work Satisfaction, Skill Development / Learning, Company Culture",Job Security
7418,Hellmann Worldwide Logistics,Logistics ,4.1,153 years old,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
7419,Avinash Group,Real Estate ,4.4,28 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
7420,Sungwoo Hitech,Auto Components ,3.8,47 years old,"Salary & Benefits, Company Culture, Promotions / Appraisal",
7421,AMPLUS SOLAR,Internet ,4.6,16 years old,"Salary & Benefits, Company Culture, Job Security",
7422,Digiperform,Education & Training ,4.2,10 years old,"Company Culture, Work Life Balance, Work Satisfaction",
7423,Vignesh Polymers,Auto Components ,3.2,19 years old,"Job Security, Company Culture, Promotions / Appraisal",
7424,Trimed Solutions India,Medical Equipment ,3.7,12 years old,"Promotions / Appraisal, Salary & Benefits",
